Modelo,Bootloader,Flash,Firmware,Hora,Fecha
102-9739,1.03,1.0,1.02,12:09:57 PM,9/12/2018
102-9739,1.03,1.0,1.02,12:10:41 PM,9/12/2018
102-9739,1.03,1.0,1.02,12:12:20 PM,9/12/2018
102-9739,1.03,1.0,1.02,1:42:18 PM,9/12/2018
102-9739,1.03,1.0,1.02,1:48:28 PM,9/12/2018
102-9739,1.03,1.0,1.02,2:06:18 PM,9/12/2018
102-9739,1.03,1.0,1.02,2:08:30 PM,9/12/2018
102-9739,1.03,1.0,1.02,2:11:39 PM,9/12/2018
102-9739,1.03,1.0,1.02,2:17:15 PM,9/12/2018
102-9739,1.03,1.0,1.02,2:17:44 PM,9/12/2018
102-9739,1.03,1.0,1.02,2:18:13 PM,9/12/2018
102-9739,1.03,1.0,1.02,2:36:17 PM,9/12/2018
102-9739,1.03,1.0,1.02,2:36:55 PM,9/12/2018
102-9739,1.03,1.0,1.02,2:45:29 PM,9/12/2018
