Modelo,Bootloader,Flash,Firmware,Hora,Fecha
102-9739,1.03,1.0,1.02,11:37:52 AM,8/16/2018
102-9739,1.03,1.0,1.02,11:40:05 AM,8/16/2018
102-9739,1.03,1.0,1.02,11:40:10 AM,8/16/2018
102-9739,1.03,1.0,1.02,11:40:34 AM,8/16/2018
102-9739,1.03,1.0,1.02,11:40:38 AM,8/16/2018
102-9739,1.03,1.0,1.02,11:44:01 AM,8/16/2018
102-9739,1.03,1.0,1.02,11:44:55 AM,8/16/2018
102-9739,1.03,1.0,1.02,12:01:43 PM,8/16/2018
,,,,3:15:23 PM,8/16/2018
,,,,3:15:41 PM,8/16/2018
,,,,3:23:37 PM,8/16/2018
,,,,3:23:44 PM,8/16/2018
,,,,3:24:32 PM,8/16/2018
,,,,3:25:34 PM,8/16/2018
,,,,3:26:03 PM,8/16/2018
,,,,3:40:29 PM,8/16/2018
,,,,3:40:44 PM,8/16/2018
,,,,3:40:58 PM,8/16/2018
,,,,3:41:24 PM,8/16/2018
,,,,3:42:13 PM,8/16/2018
,,,,3:42:16 PM,8/16/2018
