Modelo,Bootloader,Flash,Firmware,Hora,Fecha,Rev,Serie,Usuario
118-6048,1.03,1.0,5.02,10:38:41 AM,1/28/2019,B,87,Produccion
118-6048,1.03,1.0,5.02,10:44:07 AM,1/28/2019,B,88,Produccion
118-6048,1.03,1.0,5.02,10:48:09 AM,1/28/2019,B,89,Produccion
118-6048,1.03,1.0,5.02,10:51:11 AM,1/28/2019,B,8A,Produccion
118-6048,1.03,1.0,5.02,10:56:06 AM,1/28/2019,B,8B,Produccion
118-6048,1.03,1.0,5.02,10:58:57 AM,1/28/2019,B,8C,Produccion
118-6048,1.03,1.0,5.02,11:01:43 AM,1/28/2019,B,8D,Produccion
118-6048,1.03,1.0,5.02,11:05:42 AM,1/28/2019,B,8E,Produccion
118-6048,1.03,1.0,5.02,11:08:19 AM,1/28/2019,B,8F,Produccion
118-6048,1.03,1.0,5.02,11:33:36 AM,1/28/2019,B,90,Produccion
118-6048,1.03,1.0,5.02,11:36:51 AM,1/28/2019,B,91,Produccion
118-6048,1.03,1.0,5.02,11:39:51 AM,1/28/2019,B,92,Produccion
118-6048,1.03,1.0,5.02,11:42:46 AM,1/28/2019,B,93,Produccion
118-6048,1.03,1.0,5.02,12:08:20 PM,1/28/2019,B,94,Produccion
118-6048,1.03,1.0,5.02,12:11:13 PM,1/28/2019,B,95,Produccion
118-6048,1.03,1.0,5.02,12:13:58 PM,1/28/2019,B,96,Produccion
118-6048,1.03,1.0,5.02,12:21:32 PM,1/28/2019,B,97,Iva
118-6048,1.03,1.0,5.02,12:24:23 PM,1/28/2019,B,98,Iva
118-6048,1.03,1.0,5.02,12:26:50 PM,1/28/2019,B,99,Iva
