Modelo,Bootloader,Flash,Framework,Hora,Fecha
118-3378,1.03,1.0,2.02,10:43:06 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:43:17 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:43:17 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:43:17 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:43:18 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:43:18 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:43:51 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:43:52 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:43:52 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:43:52 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:43:52 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:43:52 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:44:04 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:44:04 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:44:04 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:44:04 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:44:05 AM,8/15/2018
118-3378,1.03,1.0,2.02,10:57:59 AM,8/15/2018
